ID,Source,Default branch,XML launch files,Py launch files,Language,Issues (total),Open issues,Closed issues,PR (total),Open PRs,Closed PRs,Commits,Branches,Releases,Contributors,Description,URL,Categorized by,Batch,Included,Violated criterion,Scope,System type 1,System type 2,System type 3,Capability 1,Capability 2,Capability 3,SA documented,SA documentation,Notes
_Luc_/hand_control,bitbucket,master,3,0,c++,0,0,0,1,1,0,283,2,NA,7," ROS package to control a ""Parrot AR Drone"" with the hand movements measured by a Microsoft Kinect sensor.

Contrôle de l’inclinaison d’un drone « Parrot AR » par celle d’une main filmée par une Kinect, à l’aide de ROS.
Projet de fin de première année d’un trinôme d’élèves de CentraleSupélec Metz.",https://bitbucket.org/_Luc_/hand_control,Ivano,1,YES,,FULL_SYSTEM,Aerial,,,FULL,,,NO,,
aau-ros/aau_multi_robot,github,master,19,0,C++,10,6,4,6,1,5,102,9,9,13,Multi-robot exploration by Alpen-Adria-Universität Klagenfurt,https://github.com/aau-ros/aau_multi_robot,Ivano,1,YES,,FULL_SYSTEM,Ground,,,FULL,,,NO,,"Developed by university, but no further documentation is available."
acl-mit/rvo_path_planner,bitbucket,master,7,0,c++,0,0,0,1,1,0,191,10,NA,5,The ROS package rvo_path_planner.,https://bitbucket.org/acl-mit/rvo_path_planner,Ivano,1,YES,,SUBSYSTEM,Aerial,,,Planning,,,NO,,
AcutronicRobotics/MARA_ROS1,github,master,26,0,Python,1,0,1,22,1,21,108,5,0,12,ROS 1.0 integration for MARA research edition,https://github.com/AcutronicRobotics/MARA_ROS1,Ivano,1,NO,E2,,,,,,,,,,
AcutronicRobotics/moveit2,github,master,52,1,C++,27,4,23,77,1,76,7611,88,2,233,The MoveIt 2 Motion Planning Framework for ROS 2.0,https://github.com/AcutronicRobotics/moveit2,Ivano,1,YES,,SUBSYSTEM,Manu,,,Control,Planning,Navigation,YES,https://moveit.ros.org/documentation/concepts/,
ADVRHumanoids/iit-coman-ros-pkg,github,master,5,0,Shell,27,4,23,6,0,6,311,27,1,20,Repository for the compliant humanoid robot COMAN from the Italian Institute of Technology.,https://github.com/ADVRHumanoids/iit-coman-ros-pkg,Ivano,1,NO,I2,,,,,,,,,,
ahornung/humanoid_navigation,github,indigo-devel,14,0,C++,6,3,3,12,1,11,297,7,5,7,ROS stack with footstep planning and localization for humanoid robots: http://wiki.ros.org/humanoid_navigation,https://github.com/ahornung/humanoid_navigation,Ivano,1,YES,,SUBSYSTEM,Humanoid ,,,Planning,Localization,,NO,,
airalab/robonomics_comm,github,master,7,0,Python,56,4,52,58,0,58,280,2,8,9,Robonomics communication package stack for ROS-enabled cyber-physical systems.,https://github.com/airalab/robonomics_comm,Ivano,1,YES,,SUBSYSTEM,GEN,,,Integration,,,NO,,Adapter for enabling Ethereum-based transactions in robotics 
airlab-polimi/ocarina-ros,bitbucket,master,1,0,ada,0,0,0,0,0,0,1343,2,NA,22,,https://bitbucket.org/airlab-polimi/ocarina-ros,Ivano,1,NO,I1,,,,,,,,,,
AIS-Bonn/nimbro_network,github,master,13,0,C++,4,1,3,7,2,5,243,3,0,15,ROS network stack: Topic/service transport over unreliable network connections,https://github.com/AIS-Bonn/nimbro_network,Ivano,1,YES,,SUBSYSTEM,GEN,,,Integration,,,NO,,
AlexisTM/flyingros,github,master,25,0,Python,4,0,4,0,0,0,325,2,0,2,Flying Robot Operating System is designed to be the open source implementation example for your DIY drone.,https://github.com/AlexisTM/flyingros,Ivano,1,YES,,FULL_SYSTEM,Aerial,,,FULL,,,PARTIALLY,https://github.com/AlexisTM/flyingros/blob/master/PROJECT_ARCHITECTURE.MD,
allenh1/p2os,github,master,33,0,HTML,28,9,19,35,2,33,196,14,40,10,P2OS ROS driver for Groovy and later.,https://github.com/allenh1/p2os,Ivano,1,NO,E7,,,,,,,,,,
AndyZe/pid,bitbucket,master,3,0,c++,16,8,8,9,9,0,118,3,NA,7,A PID controller for ROS.,https://bitbucket.org/AndyZe/pid,Ivano,1,YES,,SUBSYSTEM,GEN,,,Control,,,NO,,Very small project
anqixu/ueye_cam,github,master,5,0,C++,49,10,39,26,3,23,144,3,16,19,A ROS nodelet and node that wraps the driver API for UEye cameras by IDS Imaging Development Systems GMBH.,https://github.com/anqixu/ueye_cam,Ivano,1,NO,E5,,,,,,,,,,
ANYbotics/elevation_mapping,github,master,5,0,C++,56,29,27,50,8,42,405,25,10,29,Robot-centric elevation mapping for rough terrain navigation,https://github.com/ANYbotics/elevation_mapping,Ivano,1,YES,,SUBSYSTEM,Ground,,,Navigation,Mapping,,YES,https://github.com/ANYbotics/elevation_mapping,
appinho/SARosPerceptionKitti,github,master,4,0,C++,11,0,11,3,1,2,198,3,0,4,"ROS package for the Perception (Sensor Processing, Detection, Tracking and Evaluation) of the KITTI Vision Benchmark Suite",https://github.com/appinho/SARosPerceptionKitti,Ivano,1,NO,E2,,,,,,,,,,
