ID,Source,Default branch,XML launch files,Py launch files,Language,Issues (total),Open issues,Closed issues,PR (total),Open PRs,Closed PRs,Commits,Branches,Releases,Contributors,Description,URL,Categorized by,Batch,Included,Violated criterion,Scope,System type 1,System type 2,System type 3,Capability 1,Capability 2,Capability 3,SA documented,SA documentation,Notes
AcutronicRobotics/moveit2,github,master,52,1,C++,27,4,23,77,1,76,7611,88,2,233,The MoveIt 2 Motion Planning Framework for ROS 2.0,https://github.com/AcutronicRobotics/moveit2,Ivano,1,YES,,SUBSYSTEM,Manu,,,Control,Planning,Navigation,YES,https://moveit.ros.org/documentation/concepts/,
AlexisTM/flyingros,github,master,25,0,Python,4,0,4,0,0,0,325,2,0,2,Flying Robot Operating System is designed to be the open source implementation example for your DIY drone.,https://github.com/AlexisTM/flyingros,Ivano,1,YES,,FULL_SYSTEM,Aerial,,,FULL,,,PARTIALLY,https://github.com/AlexisTM/flyingros/blob/master/PROJECT_ARCHITECTURE.MD,
ANYbotics/elevation_mapping,github,master,5,0,C++,56,29,27,50,8,42,405,25,10,29,Robot-centric elevation mapping for rough terrain navigation,https://github.com/ANYbotics/elevation_mapping,Ivano,1,YES,,SUBSYSTEM,Ground,,,Navigation,Mapping,,YES,https://github.com/ANYbotics/elevation_mapping,
at-wat/mcl_3dl,github,master,7,0,C++,67,17,50,163,0,163,201,3,5,3,A ROS node to perform a probabilistic 3-D/6-DOF localization system for mobile robots with 3-D LIDAR(s). It implements pointcloud based Monte Carlo localization that uses a reference pointcloud as a map.,https://github.com/at-wat/mcl_3dl,Ivano,1,YES,,SUBSYSTEM,Ground,,,Localization,,,YES,https://github.com/at-wat/mcl_3dl,
at-wat/neonavigation,github,master,17,0,C++,88,22,66,228,3,225,406,7,7,10,A 2-D/3-DOF seamless global/local mobile robot motion planner package for ROS,https://github.com/at-wat/neonavigation,Ivano,1,YES,,SUBSYSTEM,Ground,,,Navigation,,,YES,http://frl.niche.tohoku.ac.jp/pdf/2016-SSRR-AWD1-online.pdf,
auengagroactu_sens/dji_matrice100_onboard_sdk_ros,bitbucket,3.1,6,0,NA,0,0,0,0,0,0,180,2,,15,,https://bitbucket.org/auengagroactu_sens/dji_matrice100_onboard_sdk_ros,Ivano,1,YES,,FULL_SYSTEM,Aerial,,,FULL,,,PARTIALLY,https://bitbucket.org/auengagroactu_sens/dji_matrice100_onboard_sdk_ros/src/3.1/dji_sdk_doc/Appendix.md,Full stack of DJI drone
austin-robot/utexas-art-ros-pkg,github,master,36,0,C++,3,3,0,0,0,0,971,2,0,11,ROS packages for UTexas and Austin Robot Technology driverless car,https://github.com/austin-robot/utexas-art-ros-pkg,Ivano,1,YES,,FULL_SYSTEM,Selfdriving_car,,,FULL,,,PARTIALLY,https://github.com/austin-robot/utexas-art-ros-pkg,Full stack of self-driving car
AutonomyLab/ardrone_autonomy,github,indigo-devel,3,0,C,177,48,129,49,5,44,296,15,10,16,ROS driver for Parrot AR-Drone 1.0 and 2.0 quadrocopters,https://github.com/AutonomyLab/ardrone_autonomy,Ivano,1,YES,,FULL_SYSTEM,Aerial,,,FULL,,,PARTIALLY,https://ardrone-autonomy.readthedocs.io/en/latest/commands.html,
AutonomyLab/bebop_autonomy,github,indigo-devel,6,0,C++,146,70,76,49,16,33,159,9,9,9,ROS driver for Parrot Bebop Drones 1.0 & 2.0,https://github.com/AutonomyLab/bebop_autonomy,Ivano,1,YES,,FULL_SYSTEM,Aerial,,,FULL,,,PARTIALLY,https://bebop-autonomy.readthedocs.io/en/latest/piloting.html,
AutonomyLab/create_autonomy,github,indigo-devel,7,0,C++,37,14,23,22,3,19,137,6,9,7,ROS driver for iRobot Create 1 and 2.,https://github.com/AutonomyLab/create_autonomy,Ivano,1,YES,,FULL_SYSTEM,Service,,,FULL,,,YES,https://github.com/AutonomyLab/create_autonomy,
