ID,Final ID,Guideline,Ivano,Patricia,Bradley,Grace,Resolved,Usefulness,Provenance,Occurrences in repos,Notes on agreements,Quality requirements (comma-separated),Notes
G1,I3,Expose a single ROS node with interfaces for third-party users for the most common use cases  ,I,I,I,I,I,61,G,7,,"Usability,Maintainability",
G2,H2,Design ROS nodes to be as hardware-independent as possible,H,H,H,H,H,69,G,15,,"Maintainability,Portability,Compatibility",Use URDF files and other HW description files and make them accessible using the parameter server or in the launch file
G3,H3,Decouple ROS nodes from variations in the execution environment,N,H,H,H,H,59,"G, Q",9,,"Maintainability,Portability,Compatibility",This can be done by using configuration files and other needed artifacts and storing them either in a parameter server or having them as parameters of launch files. 
G4,I5,"Identify variation points of the system in advance, and design the system so that it can be extended by third-party users without modifying its core nodes  ",I,C,I,I,I,59,G,24,,Maintainability,Related to Extensibility
G5,C8,"Take into account that the data exchanged between nodes of the system may not be fully compatible (semantically), incorrect, out-of-order, or redundant",C,C,C,C,C,42,G,9,,"Compatibility,Reliability",Related to the usage of adapters and pre-/post-processing pipelines
G6,N4,"By design, limit unnecessary computationally-heavy operations by carefully analyzing the execution scenarios across ROS nodes",N,N,N,N,N,59,"G, Q",6,,"Performance,Energy","If we know that something will not happen (e.g., a collision between super-distant joints), then do not manage it. Also watchdogs."
G7,N8,"Use a dedicated node to store and represent globally-relevant data (e.g., the physical environment where the system operates) and use it as the single source of truth for all the other nodes in the system",N,P,C,N,N,38,G,5,,"Performance,Reliability,Safety",Example: Decouple checks for self-collisions from collisions with the external environment  
G8,H5,"If context-specific configuration is needed at run-time (e.g., the available hardware capabilities), then persist this configuration in a dedicated node to avoid having to recalculate it at run-time",H,C,H,H,H,32,G,4,,Performance,
G9,N3,Decouple nodes with responsibilities that naturally work at different rates and use different rates for different purposes,N,N,N,N,N,61,G,7,,"Performance,Reliability",
G10,S3,"For real-time requirements, collect timestamps from as many sources as possible (i.e., do not rely on ROS-based timestamps only) ",S,S,S,S,S,36,G,2,,Performance,
G11,C10,Publish empty messages when triggering atomic actions,C,C,C,C,C,25,G,1,,Performance,std_msgs/Empty Message
G12,C5,Nodes that potentially produce/consume large amounts of messages should be configurable in terms of their publish/subscribe rates  ,C,C,C,C,C,55,G,2,,"Performance,Maintainability,Reliability",
G13,C6,Selectively limit the data exchanged between nodes to provide only the information that is strictly necessary for completing tasks ,C,C,C,C,C,54,G,3,,"Performance,Security",
G14,S2,Use different communication channels and different hardware depending on the criticality and real-time needs of the nodes,C,S,C,S,S,49,"G, Q",1,,Reliability,
G15,S4,Provide at least one globally-reachable node capable of receiving run-stop messages and stopping/resetting the whole system,S,S,S,S,S,34,G,3,,"Reliability,Safety",
G16,H1,Nodes interacting with simulation or physical platforms should implement identical ROS messaging interfaces,H,C,H,H,H,72,G,3,,Portability,
G17,C1,"Use standard ROS message formats as much as possible, possibly supporting also their legacy versions ",C,C,C,C,C,71,"G, Q",9,,"Maintainability,Compatibility,Portability",
